Year,Squad,Comp,Player
2020,Cagliari,Serie A,Federico Marigosu
2020,Cagliari,Serie A,Federico Mattiello
2020,Cagliari,Serie A,Radja Nainggolan
2020,Cagliari,Serie A,Nahitan Nández
2020,Cagliari,Serie A,Christian Oliva
2020,Cagliari,Serie A,Robin Olsen
2020,Cagliari,Serie A,Alberto Paloschi
2020,Cagliari,Serie A,Leonardo Pavoletti
2020,Cagliari,Serie A,João Pedro
2020,Cagliari,Serie A,Luca Pellegrini
2020,Cagliari,Serie A,Gastón Pereiro
2020,Cagliari,Serie A,Simone Pinna
2020,Cagliari,Serie A,Fabio Pisacane
2020,Cagliari,Serie A,Rafael
2020,Cagliari,Serie A,Daniele Ragatzu
2020,Cagliari,Serie A,Marko Rog
2020,Cagliari,Serie A,Giovanni Simeone
2020,Cagliari,Serie A,Sebastian Walukiewicz
2020,Celta Vigo,La Liga,Joseph Aidoo
2020,Celta Vigo,La Liga,Sergio Álvarez
2020,Celta Vigo,La Liga,Néstor Araujo
2020,Celta Vigo,La Liga,Iago Aspas
2020,Celta Vigo,La Liga,Fran Beltrán
2020,Celta Vigo,La Liga,Sergio Bermejo
2020,Celta Vigo,La Liga,Rubén Blanco
2020,Celta Vigo,La Liga,Filip Bradarić
2020,Celta Vigo,La Liga,Pape Cheikh Diop
2020,Celta Vigo,La Liga,David Costas
2020,Celta Vigo,La Liga,Gabriel Fernández
2020,Celta Vigo,La Liga,Juan Hernández
2020,Celta Vigo,La Liga,Jacobo
2020,Celta Vigo,La Liga,David Juncà
2020,Celta Vigo,La Liga,Stanislav Lobotka
2020,Celta Vigo,La Liga,Losada
2020,Celta Vigo,La Liga,Hugo Mallo
2020,Celta Vigo,La Liga,Brais Méndez
2020,Celta Vigo,La Liga,Santi Mina
2020,Celta Vigo,La Liga,Jeison Murillo
2020,Celta Vigo,La Liga,Nolito
2020,Celta Vigo,La Liga,Lucas Olaza
2020,Celta Vigo,La Liga,Rafinha
2020,Celta Vigo,La Liga,Jorge Sáenz
2020,Celta Vigo,La Liga,Pione Sisto
2020,Celta Vigo,La Liga,Fyodor Smolov
2020,Celta Vigo,La Liga,Denis Suárez
2020,Celta Vigo,La Liga,Kevin Vázquez
